Golden_Id,First_Name,Last_Name,Email,City,Street,Country,Currency_Code,DUNS,Address,Phone,Company,Customer_Classification,LBU,Market_Segment
41,Dara,Skeeles,dskeeles14@fda.gov,Abbotsford,4th,Canada,CAD,63-089-5952,Loomis,654-253-6793,LiveZ,Hyundai,Aluminum,Millwright
42,Ralf,Kliesl,rkliesl15@cornell.edu,Pong,Sycamore,Thailand,THB,56-922-6840,1st,850-229-7047,Flashpoint,Scion,Steel,Plasterers
43,Glennis,Momery,gmomery16@deliciousdays.com,Kajanan,Prairie Rose,Indonesia,IDR,09-083-9246,Delaware,414-297-6668,Devify,Ford,Stone,Equipment Operator
44,Felicity,Bason,fbason17@bloglines.com,Guiuan,Arrowood,Philippines,PHP,27-372-9683,Arkansas,575-406-5086,Ntags,Infiniti,Vinyl,Equipment Operator
45,Lacey,Glison,lglison18@dagondesign.com,Jalapa,Sutherland,Nicaragua,NIO,29-427-3955,Crescent Oaks,187-695-7098,Gabtune,Chevrolet,Rubber,Brickmason
46,Hastings,Tillard,htillard19@netvibes.com,Del Rosario,Golf View,Philippines,PHP,24-431-8013,Clove,993-627-4330,Yoveo,Jeep,Plexiglass,Concrete Finisher
47,Ag,Matejovsky,amatejovsky1a@biglobe.ne.jp,Alingsås,7th,Sweden,SEK,95-069-4960,Messerschmidt,834-857-3278,Layo,Volkswagen,Steel,Waterproofer
48,Harmonia,de Almeida,hdealmeida1b@fastcompany.com,Zhangjiafan,Rieder,China,CNY,36-639-6283,Pankratz,700-758-5180,Brainsphere,Honda,Brass,Electrician
49,Sylvester,Blasio,sblasio1c@ocn.ne.jp,Rýmařov,Anhalt,Czech Republic,CZK,29-021-1322,Moose,178-255-7356,Quinu,Infiniti,Stone,Sheet Metal Worker
50,Valina,Sibary,vsibary1d@netlog.com,Chongxian,Corben,China,CNY,39-985-8008,Lindbergh,955-968-1980,Fadeo,BMW,Wood,Plumber
51,Averell,Bettis,abettis1e@biblegateway.com,Colonias Unidas,Sutteridge,Argentina,ARS,83-112-3491,Hintze,290-273-9088,Oodoo,Dodge,Steel,Terrazzo
52,Allianora,Flack,aflack1f@zdnet.com,Sundsvall,Sundown,Sweden,SEK,23-182-8432,Cascade,940-436-9198,Zoonder,GMC,Steel,Refridgeration
53,Adelheid,Fishenden,afishenden1g@nasa.gov,Nishishinminato,Maywood,Japan,JPY,65-722-8153,Oriole,629-124-1751,Ainyx,Nissan,Granite,Pipefitter
54,Lucita,Spear,lspear1h@cloudflare.com,Noginsk,Kinsman,Russia,RUB,53-093-8949,Mitchell,580-898-0021,Flashspan,Pontiac,Brass,Carpenter
55,Ruthann,Mellody,rmellody1i@twitpic.com,Quế Sơn,Haas,Vietnam,VND,24-620-4406,Russell,629-947-8581,DabZ,Chrysler,Steel,Glazier
56,Nata,Doppler,ndoppler1j@odnoklassniki.ru,Ţahţā,Straubel,Egypt,EGP,76-474-2192,Kinsman,479-323-2507,Yabox,Mercedes-Benz,Plexiglass,Safety Officer
57,Tulley,Slator,tslator1k@hud.gov,Seso,Oxford,Indonesia,IDR,19-288-7617,Alpine,331-842-6699,Dabfeed,Toyota,Granite,Plumber
58,Mar,Denzilow,mdenzilow1l@nationalgeographic.com,Hejiang,Oakridge,China,CNY,87-625-0708,Harbort,275-440-4787,Leexo,Pontiac,Steel,HVAC
59,Kory,Brattell,kbrattell1m@spotify.com,Néa Ionía,8th,Greece,EUR,52-052-0575,Crowley,216-931-1613,Oyope,Bentley,Steel,Boilermaker
60,Jonas,Tutchener,jtutchener1n@goodreads.com,Krajan Timur Mlokorejo,Debra,Indonesia,IDR,76-252-5210,Homewood,692-742-5094,Vipe,Volkswagen,Vinyl,Pipelayer
61,Savina,Fundell,sfundell1o@miibeian.gov.cn,Dajing,Anderson,China,CNY,68-319-4363,Fuller,583-482-3199,Ntags,Isuzu,Plastic,Cement Mason
62,Magdalen,Hixley,mhixley1p@taobao.com,Tulsīpur,Doe Crossing,Nepal,NPR,19-305-7930,Glendale,201-770-6035,Cogidoo,Dodge,Rubber,Equipment Operator
63,Mathilde,Harriagn,mharriagn1q@123-reg.co.uk,Maralal,Loeprich,Kenya,KES,12-804-8433,Mandrake,391-871-4486,Wordware,Subaru,Rubber,Terrazzo
64,Simona,Ciraldo,sciraldo1r@wp.com,Comalapa,Hudson,Guatemala,GTQ,05-463-0234,Prairie Rose,409-274-0693,Skaboo,Mercury,Aluminum,Carpenter
65,Chandal,Russel,crussel1s@hp.com,Torino,Moose,Italy,EUR,38-867-7935,Anthes,886-138-6389,Kayveo,Oldsmobile,Brass,Sheet Metal Worker
66,Gilligan,Lamb-shine,glambshine1t@irs.gov,Ma‘bar,Elka,Yemen,YER,98-707-1549,Bellgrove,820-247-2314,Vinder,Dodge,Vinyl,Electrician
67,Brana,Boreham,bboreham1u@canalblog.com,Abaza,Mccormick,Russia,RUB,31-090-0003,Reindahl,471-862-2382,Flashpoint,Honda,Steel,Glazier
68,Dallis,Joder,djoder1v@facebook.com,Elbasan,Summerview,Albania,ALL,66-927-2444,Bayside,874-236-3033,Yotz,Dodge,Brass,Refridgeration
69,Carmelle,Fancutt,cfancutt1w@dell.com,Fuling,Eagle Crest,China,CNY,68-785-9082,Bashford,216-751-1372,Livetube,Acura,Granite,Waterproofer
70,Che,Brounfield,cbrounfield1x@squidoo.com,Bhalwāl,Comanche,Pakistan,PKR,62-181-6476,Sugar,198-743-8909,Oyoyo,Dodge,Rubber,Pipefitter
71,Jandy,Janic,jjanic1y@altervista.org,Carquefou,Hauk,France,EUR,66-445-6657,Shasta,793-112-7062,Kwinu,Ford,Steel,Plasterers
72,Tiebout,Mixon,tmixon1z@elpais.com,Taoyuan,Debra,China,CNY,96-784-6335,Burning Wood,259-146-9176,Riffpedia,Toyota,Vinyl,Sheet Metal Worker
73,Roosevelt,Till,rtill20@smugmug.com,Mendeleyevskiy,Moulton,Russia,RUB,64-220-2746,Burning Wood,169-180-7484,Jayo,Infiniti,Plexiglass,Electrician
74,Neddie,Coslitt,ncoslitt21@un.org,Changzheng,Talmadge,China,CNY,89-400-2102,Chive,714-188-0964,Thoughtmix,Toyota,Glass,HVAC
75,Minerva,cornhill,mcornhill22@yahoo.co.jp,Castelli,Maple Wood,Argentina,ARS,52-414-6911,Dryden,751-876-7639,Tagfeed,Bentley,Glass,Equipment Operator
76,Morris,Bortolini,mbortolini23@youtu.be,Hongch’ŏn,Red Cloud,South Korea,KRW,73-384-0102,Northfield,258-942-2689,Dabjam,Hyundai,Plastic,Boilermaker
77,Normand,Cheson,ncheson24@soup.io,Pitogo,Gale,Philippines,PHP,44-391-1761,Karstens,559-494-9481,Mycat,Buick,Stone,Millwright
78,Lynett,Cartner,lcartner25@clickbank.net,Azteca,Tennyson,Mexico,MXN,09-101-4079,Summit,585-285-9054,Oyoloo,Nissan,Steel,Pipelayer
79,Cazzie,Woolford,cwoolford26@usa.gov,Gaoyang,Cherokee,China,CNY,17-768-3066,Manitowish,845-643-3628,Tavu,Chrysler,Brass,Pipefitter
80,Johannes,Bumphrey,jbumphrey27@booking.com,San Juan del Cesar,Melby,Colombia,COP,86-217-8903,Michigan,642-425-0776,Abata,Mercedes-Benz,Steel,Glazier
81,Rianon,Hadkins,rhadkins28@sciencedirect.com,Rouen,Hermina,France,EUR,32-034-4299,East,722-531-0213,Twitterbridge,Pontiac,Rubber,Carpenter
82,Delaney,Jenicek,djenicek29@wikia.com,Bayeman,Claremont,Indonesia,IDR,28-026-2651,Birchwood,984-513-1966,Skinix,GMC,Vinyl,Electrician
83,Nichole,Kilrow,nkilrow2a@ovh.net,Agua Blanca,Russell,Guatemala,GTQ,61-686-0987,Daystar,160-919-1796,Linkbuzz,Lexus,Aluminum,Refridgeration
84,Fabe,Large,flarge2b@gravatar.com,Atengmelang,Namekagon,Indonesia,IDR,36-163-4361,Reindahl,769-463-9755,Wordware,Toyota,Rubber,Brickmason
85,Melita,Dunseath,mdunseath2c@accuweather.com,Huancaray,Prairieview,Peru,PEN,23-267-3565,Nancy,460-776-8600,Feedspan,Acura,Plastic,Refridgeration
86,Mariel,Dulton,mdulton2d@freewebs.com,Longnawang,Superior,Indonesia,IDR,39-817-1407,Bellgrove,774-885-4550,Voolia,Toyota,Rubber,Glazier
87,Tobias,Abbes,tabbes2e@samsung.com,Hetian,Ronald Regan,China,CNY,18-737-7679,Karstens,409-853-7925,Photobean,Dodge,Glass,Painter
88,Michal,Ambler,mambler2f@goodreads.com,Grebenskaya,Straubel,Russia,RUB,39-572-2410,Aberg,275-798-7526,Photospace,Pontiac,Wood,Sheet Metal Worker
89,Abdel,Willwood,awillwood2g@apache.org,Yancheng,Hollow Ridge,China,CNY,39-486-4364,Mayfield,117-203-4149,Twimbo,Toyota,Steel,Terrazzo
90,Chancey,Tinson,ctinson2h@dailymail.co.uk,Ngujung,Riverside,Indonesia,IDR,64-610-5316,Arizona,545-387-5350,Camimbo,Ford,Wood,Refridgeration
91,Josie,Scarth,jscarth2i@miitbeian.gov.cn,Palebunan,Bunting,Indonesia,IDR,66-106-1300,Loftsgordon,727-620-7610,Quimba,Hummer,Aluminum,Pipefitter
92,Gusella,Mainson,gmainson2j@merriam-webster.com,Yangliu,Huxley,China,CNY,73-126-3652,Dovetail,680-318-8703,Eazzy,Dodge,Vinyl,Plasterers
93,Percy,Mumm,pmumm2k@deliciousdays.com,Donskoye,Merry,Russia,RUB,32-203-3275,Susan,378-633-6290,Photobug,Oldsmobile,Rubber,Pipelayer
94,Amberly,Bulger,abulger2l@fema.gov,Xumai,Fordem,China,CNY,87-674-0704,Rutledge,432-540-3392,Topicblab,Mazda,Brass,Plumber
95,Sharron,Hucke,shucke2m@hibu.com,Presidente Venceslau,Hovde,Brazil,BRL,73-123-0135,Division,464-215-6770,Browsetype,Nissan,Rubber,Laborer
96,Sherman,Foale,sfoale2n@ow.ly,Concepcion,Hanson,Philippines,PHP,33-385-8389,Evergreen,189-206-8095,Roomm,Mercedes-Benz,Rubber,Pipefitter
97,Dagny,Pordall,dpordall2o@xinhuanet.com,Machachi,Gulseth,Ecuador,USD,24-293-9265,Jana,780-868-5164,Skyvu,Toyota,Plexiglass,HVAC
98,Lovell,Varney,lvarney2p@prlog.org,Salinungan Proper,Brown,Philippines,PHP,31-112-2692,Summit,179-971-4631,Meembee,Oldsmobile,Aluminum,Painter
99,Freddy,Lambrechts,flambrechts2q@blog.com,Wan’an,Main,China,CNY,35-724-1859,Columbus,505-389-7032,Yotz,Maybach,Steel,Landscaper
100,Josie,Hazlewood,jhazlewood2r@dion.ne.jp,Jiapeng,Carpenter,China,CNY,30-525-0946,Mockingbird,583-863-9914,Yakijo,Chevrolet,Wood,Landscaper
101,Pegeen,Tillyer,ptillyer2s@technorati.com,Shu,Veith,Kazakhstan,KZT,05-029-5469,Anderson,351-185-4582,Edgewire,Pontiac,Brass,Boilermaker
102,Athene,Hallbord,ahallbord2t@prlog.org,Shūkat aş Şūfī,Union,Palestinian Territory,ILS,25-151-9586,Dayton,173-620-3098,Quire,Infiniti,Plastic,Tile Setter
103,Millie,Koles,mkoles2u@soup.io,Jianqiao,Summerview,China,CNY,81-465-6305,Kedzie,749-995-1868,Topicstorm,Hummer,Plastic,Glazier
104,Gaylene,Call,gcall2v@uol.com.br,Custódia,3rd,Brazil,BRL,89-937-4136,Acker,976-126-6372,Thoughtsphere,Infiniti,Wood,Plasterers
105,Barry,Arnault,barnault2w@hatena.ne.jp,Slovenski Javornik,Sachtjen,Slovenia,EUR,59-166-7616,Annamark,257-438-8789,Photofeed,Mercedes-Benz,Glass,Millwright
106,Colin,Huntar,chuntar2x@virginia.edu,Duwakkandung,Longview,Indonesia,IDR,55-767-5932,Forest Dale,409-184-6363,Tagpad,Chrysler,Vinyl,Linemen
107,Joela,Strother,jstrother2y@shareasale.com,Sinjai,American Ash,Indonesia,IDR,79-435-0318,Summit,384-386-1715,Livetube,Volvo,Granite,Boilermaker
108,Terri,Inwood,tinwood2z@sourceforge.net,El Real,Grayhawk,Venezuela,VEF,19-868-3259,Reindahl,293-941-7621,Agimba,Chevrolet,Wood,Millwright
109,Osmond,Aleksandrev,oaleksandrev30@domainmarket.com,Avignon,Nova,France,EUR,09-080-0357,Almo,790-897-3556,Linkbuzz,Toyota,Stone,Concrete Finisher
110,Sophey,McQuorkel,smcquorkel31@facebook.com,Chenyangzhai,Sullivan,China,CNY,61-025-4825,Lotheville,289-937-1885,Tekfly,GMC,Stone,Brickmason
111,Carlee,Sleeman,csleeman32@netvibes.com,Langpas,Burning Wood,Philippines,PHP,11-685-3777,Maple Wood,834-305-2846,Roombo,Nissan,Vinyl,Welder
112,Cullin,McGuiney,cmcguiney33@goodreads.com,Mangdang,Coleman,China,CNY,59-424-8767,Bunting,864-335-2994,Skajo,Mercedes-Benz,Aluminum,Concrete Finisher
113,Grethel,Sallan,gsallan34@tiny.cc,Duszniki-Zdrój,Victoria,Poland,PLN,69-867-1969,Loftsgordon,583-990-8493,Twinte,Mercury,Rubber,Plumber
114,Deonne,Haythorn,dhaythorn35@mail.ru,Haihui,Starling,China,CNY,24-444-4714,Ronald Regan,397-836-9487,Livefish,Mercury,Vinyl,Refridgeration
115,Mollee,Dominique,mdominique36@cpanel.net,Kumla,Kenwood,Sweden,SEK,55-149-6684,Village,759-616-7774,Browsedrive,Land Rover,Plastic,Linemen
116,Blake,Bastide,bbastide37@mysql.com,Hukeng,Morrow,China,CNY,35-816-2185,Springs,940-924-8803,Lazz,Honda,Rubber,Safety Officer
117,Jeanne,Stratley,jstratley38@google.de,Xinjian,Redwing,China,CNY,08-672-9670,Hoard,921-377-1707,Livepath,Daewoo,Brass,Refridgeration
118,Adan,Jacob,ajacob39@sphinn.com,Arnhem,Johnson,Netherlands,EUR,50-762-4539,Graceland,780-583-8206,Eire,GMC,Rubber,Sheet Metal Worker
119,Brigham,Trulock,btrulock3a@chicagotribune.com,Geputan,Del Sol,China,CNY,55-308-9201,Hoepker,544-949-5519,Mybuzz,Ford,Plexiglass,Sheet Metal Worker
120,Verene,Braycotton,vbraycotton3b@pcworld.com,Gosë e Madhe,Fordem,Albania,ALL,01-545-2096,Center,328-446-6839,Yombu,Mazda,Wood,Pipelayer
121,Merlina,Flade,mflade3c@yandex.ru,Lazaro Cardenas,Summerview,Mexico,MXN,14-405-9772,Magdeline,591-182-7362,Centizu,Chevrolet,Plastic,Laborer
122,Pavia,Stallion,pstallion3d@ft.com,Haokou,Roxbury,China,CNY,20-969-9754,Pierstorff,940-220-5710,Youspan,Chrysler,Wood,Sheet Metal Worker
123,Husein,Caret,hcaret3e@addthis.com,Skaryszew,Nevada,Poland,PLN,04-389-3610,Kim,513-977-4058,Skinte,Chevrolet,Granite,Terrazzo
124,Damiano,Shepard,dshepard3f@imgur.com,Miliangju,North,China,CNY,67-189-6124,Macpherson,134-123-7987,Fivespan,Mitsubishi,Plastic,Tile Setter
125,Shaine,Pindar,spindar3g@ox.ac.uk,Mikhaylovka,Elmside,Russia,RUB,87-907-7335,Arapahoe,408-814-3813,Demizz,Chrysler,Plastic,Brickmason
126,Thebault,Vondrasek,tvondrasek3h@ameblo.jp,Otavi,Ryan,Namibia,NAD,03-710-3059,Green,151-509-7127,Roomm,Geo,Aluminum,Ironworker
127,Shurlocke,Dehn,sdehn3i@census.gov,Fushan,Brickson Park,China,CNY,96-990-5524,Maple Wood,929-212-4351,Vipe,Jeep,Rubber,Linemen
128,Mahala,Martijn,mmartijn3j@furl.net,Zafar,Nancy,Uzbekistan,UZS,83-598-6133,Park Meadow,713-709-5438,Thoughtstorm,Ford,Glass,Boilermaker
129,Aksel,Asprey,aasprey3k@studiopress.com,Shangyang,Kennedy,China,CNY,45-258-4267,Straubel,113-997-2651,Zava,Toyota,Glass,Glazier
130,Jeno,Neumann,jneumann3l@photobucket.com,Niamey,Nevada,Niger,XOF,41-644-2685,Waxwing,340-878-1425,Photojam,Land Rover,Brass,Plumber
131,Pris,McGloin,pmcgloin3m@huffingtonpost.com,Ndano,American,Indonesia,IDR,93-766-0989,Westridge,290-630-2130,Abata,Audi,Stone,Equipment Operator
132,Amalita,Dowell,adowell3n@columbia.edu,Annau,Eggendart,Turkmenistan,TMT,15-323-2716,Comanche,599-829-7391,Buzzshare,Chrysler,Steel,Landscaper
133,Aili,Grimditch,agrimditch3o@1und1.de,Cabinda,Gale,Angola,AOA,06-068-9686,Gateway,999-239-9257,Kwinu,Plymouth,Granite,Equipment Operator
134,Timmy,Carleman,tcarleman3p@google.co.uk,Houmt Souk,Main,Tunisia,TND,84-410-4069,Ridgeway,151-736-9475,Devpulse,Acura,Plexiglass,HVAC
135,Shell,Maton,smaton3q@chron.com,Mayumba,Sundown,Gabon,XAF,48-525-5059,Raven,609-921-1538,Fivebridge,Pontiac,Glass,Terrazzo
136,Faustina,Mc Queen,fmcqueen3r@t.co,Tadine,Mosinee,New Caledonia,XPF,77-591-4690,Truax,944-702-9356,Zoozzy,Nissan,Steel,Stucco Mason
137,Erminie,Bruntjen,ebruntjen3s@dailymail.co.uk,Panique,Calypso,Philippines,PHP,18-510-1198,Pierstorff,335-732-6749,Avamba,Porsche,Granite,Cement Mason
138,Arlene,Broadhead,abroadhead3t@squarespace.com,Wakkanai,Kenwood,Japan,JPY,61-917-9165,American Ash,610-434-5305,Edgepulse,Kia,Stone,Landscaper
139,Fidelio,Reignould,freignould3u@imageshack.us,Tisul’,Corscot,Russia,RUB,50-504-8200,Ridgeway,112-511-7440,Oyope,Volkswagen,Glass,Refridgeration
140,Roderick,Ferreri,rferreri3v@tripadvisor.com,Vetlanda,Carey,Sweden,SEK,74-554-7686,Grasskamp,603-727-9658,Linkbuzz,Buick,Granite,Welder
141,Murielle,Senogles,msenogles3w@paypal.com,Turanj,Buell,Croatia,HRK,75-053-9978,Macpherson,792-684-3438,JumpXS,Dodge,Glass,Equipment Operator
142,Ardisj,Kaveney,akaveney3x@ocn.ne.jp,Kota Bharu,4th,Malaysia,MYR,27-579-8197,Carey,840-890-6518,Kazu,Mazda,Glass,Plumber
143,Guinevere,Marzello,gmarzello3y@digg.com,Libu,Lake View,China,CNY,27-925-7404,Westport,322-846-2417,Fanoodle,Audi,Steel,Welder
144,Verena,Hinze,vhinze3z@washingtonpost.com,Mayo Belwa,Kedzie,Nigeria,NGN,57-421-6667,Browning,326-843-3387,Edgepulse,Cadillac,Steel,Sheet Metal Worker
145,Lorrie,Fairpool,lfairpool40@cargocollective.com,Beishidian,Hayes,China,CNY,85-775-6724,Talisman,458-763-0283,Plajo,Ford,Brass,Landscaper
146,Ingar,Bettleson,ibettleson41@sun.com,Waihibar,Red Cloud,Indonesia,IDR,13-032-6736,Daystar,838-511-2867,Gabvine,Chevrolet,Rubber,Millwright
147,Udell,Threadgall,uthreadgall42@sciencedaily.com,Chãos,Sherman,Portugal,EUR,24-050-5057,Schmedeman,828-959-2006,Skynoodle,BMW,Rubber,Stucco Mason
148,Andee,Keneford,akeneford43@biblegateway.com,Vaitogi,Prairieview,American Samoa,USD,10-196-5408,Donald,365-903-9869,Jaxnation,Mitsubishi,Stone,Glazier
149,Esdras,Franklen,efranklen44@shareasale.com,Beichan,Sunnyside,China,CNY,16-292-4080,Russell,529-753-9782,Brainbox,Ford,Plexiglass,Plasterers
150,Bayard,Dukesbury,bdukesbury45@macromedia.com,Bago City,Waxwing,Philippines,PHP,59-497-0685,Vahlen,432-667-2051,Viva,GMC,Brass,Plasterers
151,Cherish,Gladtbach,cgladtbach46@tuttocitta.it,Verkhnyaya Belka,Sage,Ukraine,UAH,37-427-0736,Moland,224-817-4388,Kare,Ford,Aluminum,Carpenter
152,Blayne,Kestin,bkestin47@mlb.com,Stari Bar,Harper,Montenegro,EUR,06-430-7778,Lyons,887-123-1520,Flashset,Ford,Glass,Millwright
153,Horton,Birkbeck,hbirkbeck48@wiley.com,Khemisset,Hazelcrest,Morocco,MAD,62-887-4430,Menomonie,123-532-0814,Brainlounge,Volkswagen,Aluminum,Plumber
154,Nikolas,Malyj,nmalyj49@nasa.gov,Jajce,Clarendon,Bosnia and Herzegovina,BAM,31-979-3429,Meadow Vale,529-762-1233,Edgepulse,Ford,Brass,Equipment Operator
155,Claudia,Streeter,cstreeter4a@webnode.com,Deqing,Pond,China,CNY,87-630-3606,Northview,994-683-8309,Trunyx,Ford,Wood,Boilermaker
156,Candra,Gregan,cgregan4b@wikimedia.org,Al Jawādīyah,Florence,Syria,SYP,49-040-9315,Northport,559-422-7422,Bluezoom,BMW,Plexiglass,Refridgeration
